user_id,recommendations
U1,"P22, P78, P50"
U2,"P5, P69, P80"
U3,"P39, P3, P97"
U4,"P96, P53, P5"
U5,"P7, P5, P35"
U6,"P7, P35, P74"
U7,"P5, P69, P70"
U8,"P1, P46, P85"
U9,"P78, P3, P97"
U10,"P54, P14, P57"
U11,"P49, P88, P90"
U12,"P81, P64, P35"
U13,"P1, P46, P58"
U14,"P39, P72, P40"
U15,"P81, P35, P7"
U16,"P85, P80, P82"
U17,"P4, P99, P2"
U18,"P41, P7, P35"
U19,"P57, P5, P72"
U20,"P80, P2, P1"
U21,"P49, P41, P43"
U22,"P69, P80, P1"
U23,"P46, P57, P17"
U24,"P5, P70, P69"
U25,"P41, P64, P91"
U26,"P1, P46, P58"
U27,"P81, P73, P39"
U28,"P5, P42, P80"
U29,"P81, P35, P41"
U30,"P49, P43, P90"
U31,"P52, P39, P3"
U32,"P85, P23, P82"
U33,"P37, P29, P52"
U34,"P5, P46, P96"
U35,"P37, P92, P46"
U36,"P26, P64, P46"
U37,"P5, P35, P74"
U38,"P5, P81, P96"
U39,"P77, P61, P36"
U40,"P5, P46, P58"
U41,"P57, P1, P79"
U42,"P21, P61, P66"
U43,"P7, P41, P92"
U44,"P23, P80, P76"
U45,"P1, P46, P35"
U46,"P14, P63, P23"
U47,"P52, P40, P29"
U48,"P71, P76, P90"
U49,"P83, P42, P4"
U50,"P64, P35, P7"
